,B,MIN,MAX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
task,B,MIN,MAX,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,R,R,R,R,R,H,H,H,R,R,R,R,R,R,R,N,N,N,N,N,C,C,C,C,C,R,R,R,R,R
heart_rate,70.0,40.0,180.0,74.0,78.0,82.0,86.0,90.0,94.0,98.0,102.0,106.0,110.0,108.0,106.0,104.0,102.0,100.0,95.0,90.0,85.0,80.0,75.0,93.0,111.0,129.0,124.0,119.0,114.0,109.0,104.0,99.0,94.0,98.0,102.0,106.0,110.0,110.0,109.0,108.0,107.0,106.0,105.0,100.0,95.0,90.0,85.0,80.0
blood_pressure_sys,120.0,90.0,180.0,120.5,121.0,121.5,122.0,122.5,123.0,123.5,124.0,124.5,125.0,124.5,124.0,123.5,123.0,122.5,122.0,121.5,121.0,120.5,120.0,122.0,124.0,126.0,125.5,125.0,124.5,124.0,123.5,123.0,122.5,123.0,123.5,124.0,124.5,125.0,124.9,124.8,124.7,124.6,124.5,124.0,123.5,123.0,122.5,122.0
blood_pressure_dia,80.0,60.0,120.0,80.02,80.04,80.06,80.08,80.1,80.12,80.14,80.16,80.18,80.2,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,82.0,83.0,82.5,82.0,81.5,81.0,80.5,80.0,80.0,80.02,80.04,80.06,80.08,80.1,80.1,80.1,80.1,80.1,80.1,80.0,80.0,80.0,80.0,80.0
respiration_rate,12.0,6.0,30.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,21.7,21.4,21.1,20.8,20.5,17.5,14.5,12.0,12.0,12.0,17.0,22.0,27.0,24.0,21.0,18.0,15.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,17.0,16.8,16.6,16.4,16.2,16.0,13.0,12.0,12.0,12.0,12.0
oxygen_saturation,0.98,0.8,1.0,0.977,0.974,0.971,0.968,0.965,0.962,0.959,0.956,0.953,0.95,0.951,0.952,0.953,0.954,0.955,0.957,0.959,0.961,0.963,0.965,0.957,0.949,0.941,0.943,0.945,0.947,0.949,0.951,0.953,0.955,0.952,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.952,0.954,0.956,0.958,0.96
blood_o2_pa,95.0,60.0,110.0,94.8,94.6,94.4,94.2,94.0,93.8,93.6,93.4,93.2,93.0,93.0,93.0,93.0,93.0,93.0,93.2,93.4,93.6,93.8,94.0,93.0,92.0,91.0,91.2,91.4,91.6,91.8,92.0,92.2,92.4,92.6,92.8,93.0,93.0,93.0,93.1,93.2,93.3,93.4,93.5,93.7,93.9,94.1,94.3,94.5
blood_co2_pa,40.0,30.0,55.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,49.5,49.0,48.5,48.0,47.5,46.5,45.5,44.5,43.5,42.5,46.0,49.5,53.0,52.0,51.0,50.0,49.0,48.0,47.0,46.0,47.0,48.0,49.0,50.0,50.0,49.9,49.8,49.7,49.6,49.5,48.5,47.5,46.5,45.5,44.5
n2_saturation,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
metabolic_rate,80.0,80.0,400.0,95.0,110.0,125.0,140.0,155.0,170.0,185.0,200.0,215.0,230.0,228.0,226.0,224.0,222.0,220.0,210.0,200.0,190.0,180.0,170.0,220.0,270.0,320.0,310.0,300.0,290.0,280.0,270.0,260.0,250.0,235.0,230.0,230.0,230.0,230.0,227.0,224.0,221.0,218.0,215.0,205.0,195.0,185.0,175.0,165.0
core_temp,37.0,34.0,39.0,37.01,37.02,37.03,37.04,37.05,37.06,37.07,37.08,37.09,37.1,37.098,37.096,37.094,37.092,37.09,37.08,37.07,37.06,37.05,37.04,37.07,37.1,37.13,37.12,37.11,37.1,37.09,37.08,37.07,37.06,37.07,37.08,37.09,37.1,37.1,37.097,37.094,37.091,37.088,37.085,37.075,37.065,37.055,37.045,37.035
skin_temp,33.0,28.0,36.0,33.02,33.04,33.06,33.08,33.1,33.12,33.14,33.16,33.18,33.2,33.2,33.2,33.2,33.2,33.2,33.18,33.16,33.14,33.12,33.1,33.16,33.22,33.28,33.26,33.24,33.22,33.2,33.18,33.16,33.14,33.16,33.18,33.2,33.2,33.2,33.195,33.19,33.185,33.18,33.175,33.155,33.135,33.115,33.095,33.075
sweat_rate,0.0,0.0,2.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165,0.16,0.155,0.15,0.22,0.29,0.35,0.345,0.34,0.335,0.33,0.325,0.32,0.315,0.295,0.275,0.255,0.235,0.215,0.21,0.205,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165
glucose_level,90.0,60.0,180.0,89.8,89.6,89.4,89.2,89.0,88.8,88.6,88.4,88.2,88.0,88.05,88.1,88.15,88.2,88.25,88.35,88.45,88.55,88.65,88.75,88.65,88.55,88.45,88.55,88.65,88.75,88.85,88.95,89.05,89.15,88.95,88.75,88.55,88.35,88.15,88.23,88.31,88.39,88.47,88.55,88.65,88.75,88.85,88.95,89.05
muscle_fatigue,0.0,0.0,1.0,0.004,0.008,0.012,0.016,0.02,0.024,0.028,0.032,0.036,0.04,0.041,0.042,0.043,0.044,0.045,0.0455,0.046,0.0465,0.047,0.0475,0.0575,0.0675,0.0775,0.078,0.0785,0.079,0.0795,0.08,0.0805,0.081,0.085,0.089,0.093,0.097,0.101,0.1015,0.102,0.1025,0.103,0.1035,0.104,0.1045,0.105,0.1055,0.106
cognitive_load,0.0,0.0,1.0,0.004,0.008,0.012,0.016,0.02,0.024,0.028,0.032,0.036,0.04,0.041,0.042,0.043,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.053,0.061,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.073,0.077,0.081,0.085,0.089,0.139,0.189,0.239,0.289,0.339,0.339,0.339,0.339,0.339,0.339
stress_index,0.0,0.0,1.0,0.003,0.006,0.009,0.012,0.015,0.018,0.021,0.024,0.027,0.03,0.031,0.032,0.033,0.034,0.035,0.035,0.035,0.035,0.035,0.035,0.041,0.047,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.056,0.059,0.062,0.065,0.068,0.088,0.108,0.128,0.148,0.168,0.168,0.168,0.168,0.168,0.168
mission_elapsed_time,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0
