Period,EVA-1 Type,EVA-1 Description,EVA-2 Type,EVA-2 Description
1,L,Initial positioning and tool check,L,Initial positioning and tool check
2,N,Panel mount begin,L,Monitoring EVA-1
3,H,Cable routing and anchoring,L,Observing and prep
4,L,Tool handoff,N,Securing cabling
5,R,Recovery,N,Finishing bolt torque
6,L,Suit check,C,Begin diagnostics
7,C,Voltage readout verification,L,Monitoring EVA-1
8,C,Alignment config,C,System diagnostics
9,L,Tool stow,L,Panel zone repositioning
10,N,Clean Panel A start,N,Clean Panel A start
11,H,Continue Panel A,H,Continue Panel A
12,R,Recovery,H,Continue Panel A
13,N,Panel A final scrub,R,Recovery
14,L,Move to Panel B,L,Move to Panel B
15,R,Recovery,C,Telemetry check
16,C,Uplink confirmation,L,Monitor systems
17,L,Reposition and prep,L,Reposition and prep
18,N,Begin Panel B cleaning,N,Begin Panel B cleaning
19,H,Continue Panel B,H,Continue Panel B
20,R,Recovery,N,Final brush down
21,N,Final brushing,R,Recovery
22,L,Move to junction box,N,Wipe down
23,C,Diagnostics on panels,C,Alignment config
24,R,Recovery,R,Recovery
25,N,Secure mount bolts,N,Support with tools
26,H,Tighten connectors,N,Hold cable
27,R,Recovery,L,Verify lock position
28,L,Transition to legacy array,L,Transition to legacy array
29,N,Legacy panel scrub,N,Legacy panel scrub
30,H,Continue scrubbing,H,Continue scrubbing
31,R,Recovery,R,Recovery
32,N,Wipe down cables,N,Wipe down frame
33,C,Final system diagnostics,C,Final config checks
34,L,Inspect hardware,L,Sample collection
35,L,Hold tether,N,Sweep and check
36,N,Tool stow and wrap up,N,Tool stow and wrap up
37,N,Final bolt torque,N,Support
38,N,Check locking mech,N,Strap routing
39,R,Recovery,L,Pre-return recovery
40,C,Log final output,C,Vitals logging
41,L,Start return to airlock,L,Start return to airlock
42,N,Translation,N,Translation
43,R,Recovery,R,Recovery
44,C,Final suit checks,C,Final suit checks
45,L,Repress prep,L,Repress prep
